"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2024","222.77","228.55","229.00","221.17","50.19M","-2.72%"
"09/04/2024","220.85","221.66","221.78","217.48","43.84M","-0.86%"
"09/05/2024","222.38","221.63","225.48","221.52","36.62M","0.69%"
"09/06/2024","220.82","223.95","225.24","219.77","48.42M","-0.70%"
"09/09/2024","220.91","220.82","221.27","216.71","67.18M","0.04%"
"09/10/2024","220.11","218.92","221.48","216.73","51.59M","-0.36%"
"09/11/2024","222.66","221.46","223.09","217.89","44.59M","1.16%"
"09/12/2024","222.77","222.50","223.55","219.82","37.50M","0.05%"
"09/13/2024","222.50","223.58","224.04","221.91","36.77M","-0.12%"
