"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2024","20.10","21.54","21.69","19.99","115.31M","-8.80%"
"09/04/2024","19.43","19.76","20.05","19.28","85.87M","-3.33%"
"09/05/2024","19.40","19.28","19.90","19.24","65.39M","-0.15%"
"09/06/2024","18.89","19.44","19.49","18.64","92.69M","-2.63%"
"09/09/2024","19.07","19.00","19.54","18.95","64.24M","0.95%"
"09/10/2024","18.98","19.03","19.11","18.51","55.62M","-0.47%"
"09/11/2024","19.64","19.01","19.69","18.52","71.40M","3.48%"
"09/12/2024","19.36","19.43","19.54","19.04","51.60M","-1.43%"
"09/13/2024","19.66","19.49","19.80","19.49","44.24M","1.55%"
