"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2024","108.00","116.01","116.21","107.29","477.16M","-9.53%"
"09/04/2024","106.21","105.41","113.27","104.12","372.47M","-1.66%"
"09/05/2024","107.21","104.99","109.65","104.76","306.85M","0.94%"
"09/06/2024","102.83","108.04","108.15","100.95","413.64M","-4.09%"
"09/09/2024","106.47","104.88","106.55","103.69","273.91M","3.54%"
"09/10/2024","108.10","107.81","109.40","104.95","268.28M","1.53%"
"09/11/2024","116.91","109.39","117.19","107.42","441.42M","8.15%"
"09/12/2024","119.14","116.84","120.79","115.38","367.10M","1.91%"
"09/13/2024","119.10","119.08","119.96","117.60","238.36M","-0.03%"
